．,1295,1295,6552,名詞,数,アラビア,*,*,*,．,．,．
百,1295,1295,2604,名詞,数,漢,*,*,*,百,ヒャク,ヒャク
五,1295,1295,3630,名詞,数,漢,*,*,*,五,ゴ,ゴ
数,1295,1295,6512,名詞,数,漢,*,*,*,数,スウ,スー
５,1295,1295,3370,名詞,数,アラビア,*,*,*,5,ゴ,ゴ
八,1295,1295,3615,名詞,数,漢,*,*,*,八,ハチ,ハチ
ひゃく,1295,1295,7892,名詞,数,和,*,*,*,ひゃく,ヒャク,ヒャク
兆,1295,1295,5558,名詞,数,漢,*,*,*,兆,チョウ,チョー
９,1295,1295,5548,名詞,数,アラビア,*,*,*,9,キュウ,キュー
七,1295,1295,2984,名詞,数,漢,*,*,*,七,ナナ,ナナ
三,1295,1295,2725,名詞,数,漢,*,*,*,三,サン,サン
０,1295,1295,3958,名詞,数,アラビア,*,*,*,0,ゼロ,ゼロ
０,1295,1295,11304,名詞,数,アラビア,*,*,*,0,レイ,レイ
万,1295,1295,3465,名詞,数,漢,*,*,*,万,マン,マン
零,1295,1295,4015,名詞,数,漢,*,*,*,零,レイ,レイ
四,1295,1295,3594,名詞,数,漢,*,*,*,四,ヨン,ヨン
７,1295,1295,4523,名詞,数,アラビア,*,*,*,7,ナナ,ナナ
２,1295,1295,4506,名詞,数,アラビア,*,*,*,2,ニ,ニ
４,1295,1295,4471,名詞,数,アラビア,*,*,*,4,ヨン,ヨン
１,1295,1295,3247,名詞,数,アラビア,*,*,*,1,イチ,イチ
余,1295,1295,8975,名詞,数,漢,*,*,*,余,ヨ,ヨ
半,1295,1295,10968,名詞,数,漢,*,*,*,半,ハン,ハン
ゼロ,1295,1295,2270,名詞,数,和,*,*,*,ゼロ,ゼロ,ゼロ
６,1295,1295,3850,名詞,数,アラビア,*,*,*,6,ロク,ロク
ひと,1295,1295,7352,名詞,数,和,*,*,*,ひと,ヒト,ヒト
〇,1295,1295,3596,名詞,数,漢,*,*,*,〇,レイ,レイ
何,1295,1295,6232,名詞,数,漢,*,*,*,何,ナン,ナン
幾,1295,1295,7482,名詞,数,漢,*,*,*,幾,イク,イク
十,1295,1295,2874,名詞,数,漢,*,*,*,十,ジュウ,ジュー
六,1295,1295,2464,名詞,数,漢,*,*,*,六,ロク,ロク
いく,1295,1295,9698,名詞,数,*,*,*,*,いく,イク,イク
８,1295,1295,4324,名詞,数,アラビア,*,*,*,8,ハチ,ハチ
３,1295,1295,4172,名詞,数,アラビア,*,*,*,3,サン,サン
二,1295,1295,2914,名詞,数,漢,*,*,*,二,ニ,ニ
○,1295,1295,6085,名詞,数,漢,*,*,*,○,レイ,レイ
千,1295,1295,4767,名詞,数,漢,*,*,*,千,セン,セン
一,1295,1295,3485,名詞,数,漢,*,*,*,一,イチ,イチ
億,1295,1295,2463,名詞,数,漢,*,*,*,億,オク,オク
九,1295,1295,4108,名詞,数,漢,*,*,*,九,キュウ,キュー
①,1295,1295,4172,名詞,数,丸付数字,*,*,*,①,イチ,イチ
②,1295,1295,4172,名詞,数,丸付数字,*,*,*,②,ニ,ニ
③,1295,1295,4172,名詞,数,丸付数字,*,*,*,③,サン,サン
④,1295,1295,4172,名詞,数,丸付数字,*,*,*,④,ヨン,ヨン
⑤,1295,1295,4172,名詞,数,丸付数字,*,*,*,⑤,ゴ,ゴ
⑥,1295,1295,4172,名詞,数,丸付数字,*,*,*,⑥,ロク,ロク
⑦,1295,1295,4172,名詞,数,丸付数字,*,*,*,⑦,ナナ,ナナ
⑧,1295,1295,4172,名詞,数,丸付数字,*,*,*,⑧,ハチ,ハチ
⑨,1295,1295,4172,名詞,数,丸付数字,*,*,*,⑨,キュウ,キュー
⑩,1295,1295,4172,名詞,数,丸付数字,*,*,*,⑩,ジュウ,ジュー
⑪,1295,1295,4172,名詞,数,丸付数字,*,*,*,⑪,,
⑫,1295,1295,4172,名詞,数,丸付数字,*,*,*,⑫,,
⑬,1295,1295,4172,名詞,数,丸付数字,*,*,*,⑬,,
⑭,1295,1295,4172,名詞,数,丸付数字,*,*,*,⑭,,
⑮,1295,1295,4172,名詞,数,丸付数字,*,*,*,⑮,,
⑯,1295,1295,4172,名詞,数,丸付数字,*,*,*,⑯,,
⑰,1295,1295,4172,名詞,数,丸付数字,*,*,*,⑰,,
⑱,1295,1295,4172,名詞,数,丸付数字,*,*,*,⑱,,
⑲,1295,1295,4172,名詞,数,丸付数字,*,*,*,⑲,,
⑳,1295,1295,4172,名詞,数,丸付数字,*,*,*,⑳,,
Ⅰ,1295,1295,4172,名詞,数,ローマ数字,*,*,*,Ⅰ,イチ,イチ
Ⅱ,1295,1295,4172,名詞,数,ローマ数字,*,*,*,Ⅱ,ニ,ニ
Ⅲ,1295,1295,4172,名詞,数,ローマ数字,*,*,*,Ⅲ,サン,サン
Ⅳ,1295,1295,4172,名詞,数,ローマ数字,*,*,*,Ⅳ,ヨン,ヨン
Ⅴ,1295,1295,4172,名詞,数,ローマ数字,*,*,*,Ⅴ,ゴ,ゴ
Ⅵ,1295,1295,4172,名詞,数,ローマ数字,*,*,*,Ⅵ,ロク,ロク
Ⅶ,1295,1295,4172,名詞,数,ローマ数字,*,*,*,Ⅶ,ナナ,ナナ
Ⅷ,1295,1295,4172,名詞,数,ローマ数字,*,*,*,Ⅷ,ハチ,ハチ
Ⅸ,1295,1295,4172,名詞,数,ローマ数字,*,*,*,Ⅸ,キュウ,キュー
Ⅹ,1295,1295,4172,名詞,数,ローマ数字,*,*,*,Ⅹ,ジュウ,ジュー
